City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,78.46,clear sky,-23.1203,-134.9692,People ThankYou
10,Lazaro Cardenas,MX,81.25,clear sky,17.9583,-102.2,quinta antigua
15,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
16,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
20,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
26,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Kieta,PG,81.37,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
34,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
39,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
44,Bahia Honda,CU,82.54,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
47,Faanui,PF,80.26,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Hithadhoo,MV,81.99,few clouds,-0.6,73.0833,Scoop Guest House
51,Butaritari,KI,82.51,few clouds,3.0707,172.7902,Isles Sunset Lodge
53,Alta Floresta,BR,85.87,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
58,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
59,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
64,Jaguey Grande,CU,83.05,scattered clouds,22.5269,-81.1286,Hostal lleana
73,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
78,Hilo,US,77.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
91,Samarai,PG,80.87,overcast clouds,-10.6167,150.6667,Nuli Sapi
93,Chuy,UY,80.74,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
94,Kissidougou,GN,81.01,few clouds,9.1848,-10.0999,Hôtel Mantis
96,Port-Gentil,GA,80.11,overcast clouds,-0.7193,8.7815,Fengshui Residence
99,Porto Novo,BJ,80.37,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
101,Tual,ID,83.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
105,Alyangula,AU,78.67,thunderstorm with heavy rain,-13.8483,136.4192,Groote Eylandt Lodge
106,Piedra Gorda,PR,80.35,scattered clouds,18.4341,-66.8877,Centro comunal Piedra Gorda
108,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
116,Bumba,CD,80.58,overcast clouds,2.1833,22.4667,Père Carlos
118,Gemena,CD,77.45,overcast clouds,3.25,19.7667,Hôtel Goshen
120,Cockburn Town,TC,75.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
129,Felipe Carrillo Puerto,MX,85.57,broken clouds,19.5833,-88.05,Hotel La Ceiba
139,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
144,Carnarvon,AU,81.25,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
154,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
158,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
161,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
165,Itororo,BR,89.56,overcast clouds,-15.1169,-40.0703,Hotel Indiana
166,Lhokseumawe,ID,76.82,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
171,Caravelas,BR,77.04,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
172,Padang,ID,75.6,light rain,-0.9492,100.3543,Mercure Padang
175,Elizabeth City,US,77.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
177,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
179,Mackay,AU,77.68,overcast clouds,-21.15,149.2,International Lodge Motel
182,Harper,LR,80.78,broken clouds,4.375,-7.7169,Screensaver
185,Isangel,VU,76.8,moderate rain,-19.55,169.2667,Tanna Lodge
186,Santa Clara,CU,84.97,broken clouds,22.4,-79.9667,El Carmen
194,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
198,Ewa Beach,US,76.69,clear sky,21.3156,-158.0072,Uncle Junior Robert
206,Takoradi,GH,81.19,broken clouds,4.8845,-1.7554,Raybow International Hotel
208,San Isidro,PE,76.5,clear sky,-12.1167,-77.05,Soul Mate-Inn
212,Araguacu,BR,87.03,few clouds,-12.9306,-49.8264,Hotel Tocantins
218,Presidencia Roque Saenz Pena,AR,80.73,broken clouds,-26.7852,-60.4388,Hotel Gualok
224,Lagunas,PE,89.28,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
229,Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
230,Cidreira,BR,78.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
233,Bafoulabe,ML,86.86,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
234,Chisec,GT,84.43,overcast clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
235,Trairi,BR,82.31,very heavy rain,-3.2778,-39.2689,janelas do mar
238,Lima,PE,75.38,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
239,Zarate,AR,83.82,overcast clouds,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
241,San Carlos,VE,89.15,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
243,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
244,Lejanias,CO,83.12,overcast clouds,3.5251,-74.0216,Hotel Campestre La Contea
250,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
253,Maputo,MZ,78.48,drizzle,-25.9653,32.5892,Pestana Rovuma
262,Santa Fe,AR,83.01,light rain,-31.6333,-60.7,Conquistador Hotel
264,Balabac,PH,79.48,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
266,Sorong,ID,80.69,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
267,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
273,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
276,Mitsamiouli,KM,81.54,light rain,-11.3847,43.2844,Foyer ADM
278,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
284,Baculin,PH,76.01,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
286,Port Moresby,PG,75.94,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
287,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
296,Benguela,AO,75.7,broken clouds,-12.5763,13.4055,Hotel Praia Morena
302,Carutapera,BR,80.87,overcast clouds,-1.195,-46.02,Lidera
303,Auki,SB,78.44,overcast clouds,-8.7676,160.7034,Auki Motel
309,Barra Do Corda,BR,83.71,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
310,Minna,NG,83.66,clear sky,9.6139,6.5569,Royal Park hotel & suites
312,Sola,VU,80.2,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
314,Jacmel,HT,89.44,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
315,Buta,CD,79.95,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
317,Huarmey,PE,76.69,few clouds,-10.0681,-78.1522,Hotel Miramar
319,Puerto Madero,MX,89.8,clear sky,14.7208,-92.4215,Hospedaje madero
325,Tarimoro,MX,76.19,clear sky,20.2833,-100.75,Auto Lavado Privado
326,Zemio,CF,78.8,overcast clouds,5.0314,25.1361,OCHA Office
334,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
335,Mamallapuram,IN,80.65,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
338,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
342,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
345,Tucurui,BR,84.81,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
347,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
354,Wamba,NG,76.93,clear sky,8.9333,8.6,Roma Zee Guest House Annex
