City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mtinko,TZ,-4.55,34.85,59.32,98,100,4.92,overcast clouds
1,Jamtara,IN,23.95,86.8,58.19,86,1,9.31,clear sky
2,Lebu,CL,-37.6167,-73.65,64.24,75,1,17.47,clear sky
3,Ushuaia,AR,-54.8,-68.3,55.02,41,33,2.42,scattered clouds
4,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,20.71,clear sky
5,Port Hardy,CA,50.6996,-127.4199,45.75,95,100,10.25,moderate rain
6,Rikitea,PF,-23.1203,-134.9692,78.46,71,9,10.63,clear sky
7,New Norfolk,AU,-42.7826,147.0587,57.92,75,49,1.79,scattered clouds
8,Hobart,AU,-42.8794,147.3294,58.26,86,75,5.75,broken clouds
9,Albany,US,42.6001,-73.9662,26.91,87,100,1.99,light snow
10,Lazaro Cardenas,MX,17.9583,-102.2,81.25,55,2,7.56,clear sky
11,Vestmanna,FO,62.1564,-7.1664,34.72,55,75,25.32,light snow
12,Tasiilaq,GL,65.6145,-37.6368,21.36,64,100,39.95,overcast clouds
13,Geraldton,AU,-28.7667,114.6,72.01,53,0,3.44,clear sky
14,Mataura,NZ,-46.1927,168.8643,53.47,98,100,1.36,overcast clouds
15,Touros,BR,-5.1989,-35.4608,81.5,59,26,15.19,scattered clouds
16,Atuona,PF,-9.8,-139.0333,78.19,78,29,16.22,light rain
17,Mar Del Plata,AR,-38.0023,-57.5575,71.62,88,75,8.99,broken clouds
18,Provideniya,RU,64.3833,-173.3,-0.44,65,0,13.73,clear sky
19,Severo-Kurilsk,RU,50.6789,156.125,27.66,90,100,3.06,overcast clouds
20,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
21,Jamestown,US,42.097,-79.2353,22.32,64,100,1.99,light snow
22,Bluff,NZ,-46.6,168.3333,53.8,63,77,6.78,broken clouds
23,Castro,BR,-24.7911,-50.0119,67.01,96,100,6.69,light rain
24,Punta Arenas,CL,-53.15,-70.9167,59.11,38,0,17.27,clear sky
25,Krasnouralsk,RU,58.3638,60.0407,21.52,96,100,6.42,light snow
26,Mahebourg,MU,-20.4081,57.7,80.26,85,100,17.83,light rain
27,Cape Town,ZA,-33.9258,18.4232,69.35,63,4,5.01,clear sky
28,Kieta,PG,-6.2167,155.6333,81.37,83,100,10.89,overcast clouds
29,Airai,TL,-8.9266,125.4092,60.12,90,99,1.86,overcast clouds
30,Tungor,RU,53.3808,142.9564,3.24,93,100,20.76,light snow
31,Kapaa,US,22.0752,-159.319,73.38,87,0,0.0,clear sky
32,Norman Wells,CA,65.282,-126.8329,-20.94,90,100,10.38,overcast clouds
33,Te Anau,NZ,-45.4167,167.7167,44.01,93,45,4.27,scattered clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,83,5.99,broken clouds
35,Kahului,US,20.8947,-156.47,76.84,69,0,0.0,clear sky
36,Bolshaya Rechka,RU,51.9503,104.7355,-6.75,96,66,1.48,broken clouds
37,Kodiak,US,57.79,-152.4072,31.51,86,100,4.61,overcast clouds
38,Anadyr,RU,64.75,177.4833,-11.16,79,1,6.73,clear sky
39,Kavieng,PG,-2.5744,150.7967,81.77,73,100,6.46,overcast clouds
40,Petlawad,IN,23.0,74.8,61.02,24,0,2.1,clear sky
41,Saskylakh,RU,71.9167,114.0833,-6.34,99,100,4.72,light snow
42,Mapiripan,CO,2.8892,-72.1256,90.05,44,100,3.24,overcast clouds
43,Busselton,AU,-33.65,115.3333,67.08,59,0,5.19,clear sky
44,Bahia Honda,CU,22.9036,-83.1592,82.54,61,18,6.87,light rain
45,Husavik,IS,66.0449,-17.3389,25.2,92,99,15.1,light snow
46,Visnes,NO,59.3556,5.2242,41.05,70,20,23.02,few clouds
47,Faanui,PF,-16.4833,-151.75,80.26,75,22,13.96,few clouds
48,Westport,US,41.1415,-73.3579,39.16,95,100,3.0,light rain
49,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,70,20,5.75,few clouds
50,Hithadhoo,MV,-0.6,73.0833,81.99,73,20,10.09,few clouds
51,Butaritari,KI,3.0707,172.7902,82.51,73,14,19.1,few clouds
52,Cabrobo,BR,-8.5142,-39.31,95.77,25,35,6.78,scattered clouds
53,Alta Floresta,BR,-9.8756,-56.0861,85.87,65,2,1.79,clear sky
54,Awbari,LY,26.5921,12.7805,54.25,38,0,6.89,clear sky
55,Barrow,US,71.2906,-156.7887,-29.18,68,40,8.05,scattered clouds
