City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-02-01 21:01:57,72.7868,-56.1549,-15.21,73,100,6.78
1,Cherskiy,RU,2022-02-01 21:06:24,68.75,161.3,-6.02,80,82,3.36
2,Hammerfest,NO,2022-02-01 21:06:25,70.6634,23.6821,25.25,39,98,9.22
3,Mahebourg,MU,2022-02-01 21:06:25,-20.4081,57.7,78.26,91,100,29.26
4,Manutuke,NZ,2022-02-01 21:06:26,-38.6833,177.9167,75.97,61,94,6.35
5,Katsuura,JP,2022-02-01 21:06:27,35.1333,140.3,39.31,43,42,15.32
6,San Policarpo,PH,2022-02-01 21:06:28,12.1791,125.5072,78.21,84,99,10.94
7,Mar Del Plata,AR,2022-02-01 21:03:47,-38.0023,-57.5575,84.22,67,0,11.01
8,Mataura,NZ,2022-02-01 21:01:39,-46.1927,168.8643,73.47,66,100,6.82
9,Vila Franca Do Campo,PT,2022-02-01 21:02:07,37.7167,-25.4333,58.19,79,84,11.12
10,Nuuk,GL,2022-02-01 21:06:30,64.1835,-51.7216,9.21,72,100,8.05
11,Tahe,CN,2022-02-01 21:05:18,52.3333,124.7333,-8.64,89,29,5.39
12,Kavaratti,IN,2022-02-01 21:06:31,10.5669,72.642,79.95,71,2,9.42
13,Tuktoyaktuk,CA,2022-02-01 21:06:31,69.4541,-133.0374,-6.2,97,100,7.16
14,Ushuaia,AR,2022-02-01 21:03:37,-54.8,-68.3,42.46,87,75,43.73
15,Hirara,JP,2022-02-01 21:06:32,24.8,125.2833,68.94,69,73,19.08
16,Cape Town,ZA,2022-02-01 21:02:06,-33.9258,18.4232,70.12,83,53,7.36
17,Ponta Do Sol,PT,2022-02-01 21:01:46,32.6667,-17.1,67.01,72,48,11.81
18,Walvis Bay,NA,2022-02-01 21:06:34,-22.9575,14.5053,70.09,81,33,5.84
19,Hilo,US,2022-02-01 21:03:12,19.7297,-155.09,78.53,67,20,5.75
20,Khatanga,RU,2022-02-01 21:06:35,71.9667,102.5,-36.4,99,22,2.46
21,Galesong,ID,2022-02-01 21:06:35,-5.3166,119.3661,75.22,83,100,3.8
22,Bambous Virieux,MU,2022-02-01 21:02:53,-20.3428,57.7575,77.22,91,100,29.39
23,Hobart,AU,2022-02-01 21:05:47,-42.8794,147.3294,55.26,58,20,1.01
24,Miri,MY,2022-02-01 21:06:37,4.4148,114.0089,77.07,93,100,3.38
25,Touros,BR,2022-02-01 21:02:37,-5.1989,-35.4608,81.43,75,62,11.99
26,Clyde River,CA,2022-02-01 21:02:20,70.4692,-68.5914,-27.17,81,99,2.77
27,Gladstone,AU,2022-02-01 21:02:53,-23.85,151.25,83.79,83,100,3.44
28,Ormara,PK,2022-02-01 21:06:39,25.2088,64.6357,72.27,78,1,11.01
29,New Norfolk,AU,2022-02-01 21:06:40,-42.7826,147.0587,54.9,57,8,1.01
30,Dikson,RU,2022-02-01 21:06:40,73.5069,80.5464,3.94,93,100,18.3
31,Punta Arenas,CL,2022-02-01 21:06:41,-53.15,-70.9167,51.91,50,20,37.98
32,Avarua,CK,2022-02-01 21:06:41,-21.2078,-159.775,82.45,78,20,11.5
33,Chuari Khas,IN,2022-02-01 21:06:42,32.4333,76.0167,44.08,41,6,6.85
